H,C
5.29807662963867,131.312728881836
5.84435844421387,125.656341552734
6.50506496429443,125.148544311523
7.11524724960327,123.773338317871
7.05723905563354,120.358940124512
7.5572681427002,118.988998413086
7.21403789520264,112.063079833984
6.36793327331543,95.1838455200195
3.62243151664734,83.9782485961914
5.34173202514648,77.6309814453125
4.11388111114502,70.6338272094727
3.40086221694946,70.6338272094727
3.53500604629517,69.3780670166016
4.07718372344971,69.365104675293
2.76200389862061,66.0054321289063
3.04101324081421,58.7785758972168
3.86633229255676,56.552173614502
3.70431017875671,53.1540145874023
3.76805734634399,52.8555870056152
3.31495428085327,51.3905448913574
2.7259087562561,51.3905448913574
2.48081040382385,50.6110229492188
3.21237230300903,50.5893745422363
2.10032629966736,45.7933959960937
1.85129284858704,45.7933959960937
2.65350461006165,40.4078330993652
2.14349842071533,39.304328918457
2.74248456954956,38.6185646057129
1.66838812828064,33.4797821044922
3.0807900428772,32.4454307556152
2.59570693969727,32.4454307556152
2.15301561355591,32.0590438842773
1.74063503742218,27.9771957397461
1.89081978797913,24.2286224365234
3.83733487129211,22.0114250183105
3.39373159408569,22.0114250183105
2.03064489364624,20.9065093994141
0.897501826286316,14.4492807388306
1.08865320682526,11.3391695022583
0.7217116355896,8.86297512054443
1.00997865200043,8.27940464019775
